size, time
51826688,77405.773438
51826688,77405.843750
51826688,77405.906250
51826688,77405.976562
51826688,77406.039062
51826688,77406.101562
51826688,77406.171875
51826688,77406.234375
51826688,77406.296875
51826688,77406.359375
51826688,77406.429688
51826688,77406.492188
51826688,77406.562500
51826688,77406.625000
51826688,77406.687500
51826688,77406.750000
51826688,77406.812500
51826688,77406.882812
51826688,77406.945312
51826688,77407.015625
51826688,77407.078125
51826688,77407.140625
51826688,77407.210938
51826688,77407.273438
51826688,77407.335938
51826688,77407.398438
51826688,77407.468750
51826688,77407.539062
51826688,77407.601562
51826688,77407.664062
51826688,77407.710938
51826688,77407.781250
51826688,77407.851562
51826688,77407.914062
51826688,77407.976562
51826688,77408.046875
51826688,77408.109375
51826688,77408.179688
51826688,77408.242188
51826688,77408.304688
51826688,77408.375000
51826688,77408.437500
51826688,77408.507812
51826688,77408.570312
51826688,77408.640625
51826688,77408.703125
51826688,77408.773438
51826688,77408.843750
51826688,77408.906250
51826688,77408.968750
51826688,77409.031250
51826688,77409.101562
51826688,77409.171875
51826688,77409.234375
51826688,77409.296875
51826688,77409.359375
51826688,77409.421875
51826688,77409.484375
51826688,77409.554688
51826688,77409.625000
51826688,77409.687500
51826688,77409.750000
51826688,77409.812500
51826688,77409.882812
51826688,77409.945312
51826688,77410.007812
51826688,77410.078125
51826688,77410.140625
51826688,77410.210938
51826688,77410.273438
51826688,77410.335938
51826688,77410.398438
51826688,77410.460938
51826688,77410.531250
51826688,77410.593750
51826688,77410.664062
51826688,77410.726562
51826688,77410.789062
51826688,77410.859375
51826688,77410.921875
51826688,77410.984375
51826688,77411.046875
51826688,77411.117188
51826688,77411.187500
51826688,77411.250000
51826688,77411.312500
51826688,77411.375000
51826688,77411.437500
51826688,77411.507812
51826688,77411.570312
51826688,77411.632812
51826688,77411.687500
51826688,77411.750000
51826688,77411.812500
51826688,77411.882812
51826688,77411.953125
51826688,77412.015625
51826688,77412.078125
51826688,77412.140625
51826688,77412.210938
51826688,77412.281250
51826688,77412.343750
51826688,77412.406250
51826688,77412.468750
51826688,77412.546875
51826688,77412.609375
51826688,77412.671875
51826688,77412.734375
51826688,77412.796875
51826688,77412.867188
51826688,77412.937500
51826688,77413.000000
51826688,77413.062500
51826688,77413.125000
51826688,77413.203125
51826688,77413.265625
51826688,77413.328125
51826688,77413.398438
51826688,77413.460938
51826688,77413.531250
51826688,77413.593750
51826688,77413.656250
51826688,77413.718750
51826688,77413.789062
51826688,77413.859375
51826688,77413.921875
51826688,77413.984375
51826688,77414.046875
51826688,77414.109375
51826688,77414.179688
51826688,77414.242188
51826688,77414.304688
51826688,77414.375000
51826688,77414.437500
51826688,77414.507812
51826688,77414.570312
51826688,77414.632812
51826688,77414.695312
51826688,77414.757812
51826688,77414.828125
51826688,77414.898438
51826688,77414.960938
51826688,77415.023438
51826688,77415.085938
51826688,77415.148438
51826688,77415.218750
51826688,77415.281250
51826688,77415.351562
51826688,77415.414062
51826688,77415.476562
51826688,77415.546875
51826688,77415.609375
51826688,77415.679688
51826688,77415.742188
51826688,77415.804688
51826688,77415.875000
51826688,77415.937500
51826688,77416.007812
51826688,77416.070312
51826688,77416.132812
51826688,77416.203125
51826688,77416.273438
51826688,77416.335938
51826688,77416.398438
51826688,77416.460938
51826688,77416.531250
51826688,77416.601562
51826688,77416.664062
51826688,77416.726562
51826688,77416.789062
51826688,77416.859375
51826688,77416.929688
51826688,77416.992188
51826688,77417.054688
51826688,77417.117188
51826688,77417.187500
51826688,77417.250000
51826688,77417.312500
51826688,77417.375000
51826688,77417.445312
51826688,77417.515625
51826688,77417.578125
51826688,77417.640625
51826688,77417.703125
51826688,77417.765625
51826688,77417.828125
51826688,77417.906250
51826688,77417.968750
51826688,77418.031250
51826688,77418.093750
51826688,77418.156250
51826688,77418.226562
51826688,77418.289062
51826688,77418.351562
51826688,77418.421875
51826688,77418.484375
51826688,77418.554688
